time_elapsed,close
0 ,99.55
1 ,76.86
2 ,67.62
3 ,64.48
4 ,60.98
5 ,58.13
6 ,53.98
7 ,67.00
8 ,89.70
9 ,99.00
10 ,90.28
11 ,106.70
12 ,94.98
13 ,85.44
14 ,73.34
15 ,53.70
16 ,50.13
17 ,65.23
18 ,62.77
19 ,66.20
20 ,68.44
21 ,66.23
22 ,63.68
23 ,64.31
24 ,69.32
25 ,61.63
