time_elapsed,close
50,0.412936760035
150,0.446981930027
250,0.430090623266
350,0.443385886519
450,0.453052450559
550,0.452762455127
650,0.448322389134
750,0.450695490387
850,0.457930144687
950,0.453445065177
1050,0.458595033337
1150,0.45768583589
1250,0.452952900451
1350,0.451202565473
1450,0.453842549203
1550,0.448845717169
1650,0.450704225352
1750,0.441863905325
1850,0.451763485477
1950,0.460333201111
2050,0.452868852459
2150,0.463284379172
2250,0.477258944815
2350,0.456717451524
2450,0.445733532934
2550,0.465968586387
2650,0.485272815065
2750,0.460643015521
2850,0.451709658068
2950,0.455525606469
3050,0.434562545192
3150,0.458598726115
3250,0.460490463215
3350,0.466029723992
3450,0.501157407407
3550,0.440318302387
3650,0.459909228442
3750,0.453007518797
3850,0.442748091603
3950,0.461016949153
4050,0.436893203883
4150,0.440251572327
4250,0.414414414414
4350,0.441176470588
4450,0.475409836066
4550,0.358974358974
4650,0.375
4750,0.272727272727
4850,0.333333333333
4950,0.272727272727
5050,0.333333333333
5150,0.166666666667
5250,0.333333333333
5350,0.25
5450,0.25
5550,1.0
5650,0.0
5750,0.0
5850,0.0
5950,0.0
6050,0.0
6150,0.0
6250,0.0
6350,0.0
6450,0.0
6550,0.0
6650,0.0
6750,0.0
6850,0.0
6950,0.0
7050,0.0
7150,0.0
