time_elapsed,close
50,0.0077618037552
150,0.0402480698646
250,0.0386654548209
350,0.0397551365044
450,0.0373918307753
550,0.0376219228983
650,0.0370582753924
750,0.0379495189748
850,0.0343302135127
950,0.0350293759007
1050,0.0347535759001
1150,0.0358007339736
1250,0.038112228349
1350,0.0355482979525
1450,0.0346945322884
1550,0.0361321403992
1650,0.0384963526969
1750,0.0365015406494
1850,0.0374873353597
1950,0.0393412625801
2050,0.0331412103746
2150,0.0374126662159
2250,0.037418027517
2350,0.0373791311878
2450,0.0334420880914
2550,0.0388981946771
2650,0.0354580856733
2750,0.036832412523
2850,0.0399602879126
2950,0.043057050592
3050,0.0367334547662
3150,0.0352628077179
3250,0.039745031871
3350,0.037407568508
3450,0.0412776412776
3550,0.0414915966387
3650,0.0437756497948
3750,0.0441306266549
3850,0.0336943441637
3950,0.0436137071651
4050,0.0392156862745
4150,0.0201729106628
4250,0.0384615384615
4350,0.0363636363636
4450,0.0375
4550,0.0740740740741
4650,0.0227272727273
4750,0.0322580645161
4850,0.0
4950,0.0
5050,0.0434782608696
5150,0.0
5250,0.0
5350,0.0
5450,0.1
5550,0.0
5650,0.0
5750,0.0
5850,0.0
5950,0.0
6050,0.0
6150,0.0
6250,0.0
6350,0.0
6450,0.0
6550,0.0
6650,0.0
6750,0.0
6850,0.0
6950,0.0
7050,0.0
7150,0.0
